title,detail_link,author,publisher,pub_date,ori_price,disc_price,num_review,content_review,edit_review,preview
"[도서]   세이노의 가르침
",https://www.yes24.com/Product/Goods/117014613,"
세이노(SayNo) 저  
                
                
                    "," 데이원
                
                    "," 2023년 03월
                 
            ","7,200원 ","6,480",296,4,4,"
			            재야의 명저 『세이노의 가르침』 2023년판 정식 출간! 순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다  2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 『세이노의 가르침』이 드디어 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확...
			        "
"[도서]   흔한남매 13(디즈니 캐릭터 문구세트 (유아/어린이 1만 5천원↑, 포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/118499482,"
흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수  
                
                
                    "," 미래엔아이세움
                
                    "," 2023년 04월
                 
            ","14,500원 ","13,050",89,4,4,"
			            웃음 폭탄 '에피소드'와 깨알 재미 '놀이'의 조합!  어린이의 웃음 코드에 맞춰 엄선한 에피소드를 앙증맞고 유머러스한 만화로 풀어 냈습니다. 웃음을 유발하는 에이미와 으뜸이의 티격태격 일상은 물론이고, 말끝마다 ‘K’ 자를 붙이는 으뜸이를 위한 에이미의 참교육, 흔한남매네 집에 놀러 온 장민철, 신기한 꿈속의...
			        "
"[도서]   사장학개론([9월 얼리리더] 나전칠기 스타일 마그넷 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/117958120,"
김승호 저  
                
                
                    "," 스노우폭스북스
                
                    "," 2023년 04월
                 
            ","25,000원 ","22,500",60,4,4,"
			            이 책은 한국과 미국, 전 세계를 오가며 ‘사장을 가르치는 사장’으로 알려진 『돈의 속성』의 저자 김승호 회장의 신간이다. 평생 사장으로 살아온 그의 경영철학 모두를 10여 년에 걸쳐 정리해 온 그는, 이번 『사장학개론』 책을 통해 120가지 주제로 그 내용을 모두 담아 완성했다. 지난 7년 간 3천 명의 사장제자들을...
			        "
"[도서]   모든 삶은 흐른다 : 삶의 지표가 필요한 당신에게 바다가 건네는 말(양장, [9월의 굿즈] 페이퍼 인센스, 산리오캐릭터즈 독서 아이템 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/118104953,"
로랑스 드빌레르 저/이주영 역  
                
                
                    "," 피카(FIKA)
                
                    "," 2023년 04월
                 
            ","16,800원 ","15,120",77,4,4,"
			            프랑스 아마존 베스트셀러 최재천, 이해인, 윤대현, 장재형 등 각계 명사들의 강력 추천 프랑스 현지 언론의 압도적 찬사  “이 책은 흐르는 삶 속에서 ‘자기 자신’이라는 유일한 섬이 되는 길을 안내한다.  삶은 내가 내 의지대로 살아가는 게 아니라 그저 흘러가며 살아지는 것이다.” _ 최재천(이화여대 에코과...
			        "
"[도서] 이미 늦었다고 생각하는 당신을 위한  김미경의 마흔 수업
",https://www.yes24.com/Product/Goods/117188090,"
김미경 저  
                
                
                    "," 어웨이크북스
                
                    "," 2023년 02월
                 
            ","18,000원 ","16,200",226,4,4,"
			            160만 구독 MKTV 국민 멘토 김미경, 『김미경의 리부트』 이후 3년 만의 단독 신작 출간  100세 시대에 ‘갓생 1세대’, 40대를 재해석하다 마흔 이후 펼쳐질 진짜 인생을 나답게 사는 법  전 국민이 힘겨워하는 불황에 여느 세대보다 더 많이 흔들리는 이들이 있다. 가족을 짊어지고 커리어의 정점을 향해가고 있는 ...
			        "
"[도서]   메리골드 마음 세탁소(작가 친필 인쇄 사인본, [9월의 굿즈] 페이퍼 인센스, 산리오캐릭터즈 독서 아이템 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/117716170,"
윤정은 저  
                
                
                    "," 북로망스
                
                    "," 2023년 03월
                 
            ","15,000원 ","13,500",101,4,4,"
			            마음에 묻은 얼룩을 마법처럼 지워드립니다  윤정은 작가 등단 11년 만의 첫 장편소설  한국형 힐링 소설의 결정판  우리는 가끔 시간을 되돌려 과거로 돌아가 후회됐던 일을 되돌리고 싶어한다. 그런데 과연 그 일을 지워버리는 게 현명한 선택일까? 그리고 그 기억을 지웠을 때 지금의 내가 있을 수 있을까? 만약 그 ...
			        "
"[도서]   나의 돈 많은 고등학교 친구 : 슈퍼리치와의 대화에서 찾아낸 부자의 길(양장) 
            
            ",https://www.yes24.com/Product/Goods/118468152,"
송희구 저  
                
                
                    "," 서삼독
                
                    "," 2023년 04월
                 
            ","18,000원 ","16,200",107,4,4,"
			            30만 베스트셀러 『서울 자가에 대기업 다니는 김 부장 이야기』 시리즈의 송희구 저자가 2년 만에 세상에 내놓은 신작. 전작과 같이 소설 형태를 빌려와 독자들에게 돈과 인생, 부와 행복에 대한 메시지를 전한다. 소설이라고 해도 좋고, 자기계발서라 해도 좋다. 누군가는 투자 마인드서라 말할지 모른다. 그만큼 읽는 사...
			        "
"[도서]   스즈메의 문단속
",https://www.yes24.com/Product/Goods/116887399,"
신카이 마코토 저/민경욱 역  
                
                
                    "," 대원씨아이(단행)(대원키즈)
                
                    "," 2023년 01월
                 
            ","13,000원 ","11,700",61,4,4,"
			            『너의 이름은』 『날씨의 아이』 신카이 마코토 감독의 신작 원작소설   규슈의 조용한 마을에서 이모와 함께 살아가는 17살 소녀 스즈메. 어느 날 등굣길에 아름다운 청년과 스쳐간 스즈메는 “문을 찾고 있다”는 그의 뒤를 쫓아 산속 폐허에 들어선다.그곳에서 스즈메가 발견한 것은 붕괴에서 빗겨난 듯 덩그러니 남...
			        "
"[도서]   건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식 : 단순하면서 자연스러운 가장 효과적인 식단 
            
            ",https://www.yes24.com/Product/Goods/114251948,"
조승우 저  
                
                
                    "," 바이북스
                
                    "," 2022년 10월
                 
            ","19,000원 ","17,100",81,4,4,"
			            한약사가 알려주는 채소·과일식 해독법. 다이어트 보좌관이자 피토테라피스트 한약사 조승우가 『건강과 다이어트를 동시에 잡는 채소·과일식』을 세상에 내놓는다. 다이어트의 핵심은 독소 청소인데, 이를 위해 단순하면서 자연스러운 가장 효과적인 식단인 채소·과일식을 소개한다. 이 책은 가공식품과 화학첨가제의 진실...
			        "
"[만화]   최애의 아이 10 (초판 종료) 
            
            ",https://www.yes24.com/Product/Goods/118997150,"
아카사카 아카 글/요코야리 멘고 그림  
                
                
                    "," 대원
                
                    "," 2023년 05월
                 
            ","6,000원 ","5,400",41,4,4,"
			            루비가 리포터를 맡은 인터넷 방송국의 버라이어티 방송에서 다룬 코스프레 특집은 큰 논란으로 발전 복수심에 불타는 루비는 이 소동까지 이용하게 되는데?!
			        "
"[도서]   불편한 편의점(벚꽃 에디션) 
            
            ",https://www.yes24.com/Product/Goods/99308021,"
김호연 저  
                
                
                    "," 나무옆의자
                
                    "," 2021년 04월
                 
            ","14,000원 ","12,600",518,4,4,"
			            불편한데 자꾸 가고 싶은 편의점이 있다!  힘들게 살아낸 오늘을 위로하는 편의점의 밤 정체불명의 알바로부터 시작된 웃음과 감동의 나비효과 『망원동 브라더스』 김호연의 ‘동네 이야기’ 시즌 2  2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 ...
			        "
"[도서]   내가 가진 것을 세상이 원하게 하라 : 최인아 대표가 축적한 일과 삶의 인사이트 
            
            ",https://www.yes24.com/Product/Goods/118429999,"
최인아 저  
                
                
                    "," 해냄
                
                    "," 2023년 04월
                 
            ","17,500원 ","15,750",111,4,4,"
			            “세상도 어찌하지 못할 당신만의 세계를 가졌는가”  일하는‘나’의 고민과 방황을 붙잡고 자기 이름으로 일하는 사람이 지녀야 할 시선과 태도  이직할 것인가, 전업할 것인가, 창업할 것인가… 시장 불확실성이 높아지고, 업의 변화 속도는 빠르고, 조직에 대한 가치관이 충돌하는 오늘날, 일하는 사람들의 고민이 ...
			        "
"[만화]   주술회전 22 더블특장판 : 사쿠라지마 콜로니-환생-(초판한정부록 : 스페셜 일러스트 카드 + 선착순 '옷코츠 유타' 포토카드 (책과랩핑)) 
            
            ",https://www.yes24.com/Product/Goods/118683704,"
아쿠타미 게게 글그림/이정운 역  
                
                
                    "," 서울미디어코믹스(서울문화사)
                
                    "," 2023년 05월
                 
            ","6,000원 ","5,400",32,4,4,"
			            사쿠라지마 콜로니에 갑자기 날아든 의문의 주령! 그것은 사후에 저주로 돌변한, 마키와 관련 있는 인물이었다…!! 주태에서 성체로, 무시무시한 속도로 진화하는 주령에게 점점 내몰리는 마키와 노리토시.
			        "
"[도서]   아버지의 해방일지
",https://www.yes24.com/Product/Goods/112253263,"
정지아 저  
                
                
                    "," 창비
                
                    "," 2022년 09월
                 
            ","15,000원 ","13,500",329,4,4,"
			            새삼스럽게 경탄스럽다! 압도적인 몰입감, 가슴 먹먹한 감동 정지아의 손끝에서 펼쳐지는 시대의 온기  미스터리 같은 한 남자가 헤쳐온 역사의 격랑 그 안에서 발견하는 끝끝내 강인한 우리의 인생  김유정문학상 심훈문학대상 이효석문학상 등을 수상하며 문학성을 두루 입증받은 ‘리얼리스트’ 정지아가 무려 32...
			        "
"[도서]   내면소통 : 삶의 변화를 가져오는 마음근력 훈련 
            
            ",https://www.yes24.com/Product/Goods/117643865,"
김주환 저  
                
                
                    "," 인플루엔셜
                
                    "," 2023년 02월
                 
            ","33,000원 ","29,700",47,4,4,"
			            “나와 세상을 바꾸는 힘은 불굴의 의지가 아니라  실패를 두려워하지 않는 마음근력에서 나온다.”  『회복탄력성』김주환 교수가 최신 뇌과학과 명상으로 안내하는  모든 두려움으로부터 완전히 자유로워지는 법   ★ 최재천, 권오현, 채정호, 김봉진, 김대식, 김미경, 장동선, 최재붕  한국 최고의 학계·경영계 ...
			        "
"[도서]   장하준의 경제학 레시피 : 마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기 
            
            ",https://www.yes24.com/Product/Goods/117985747,"
장하준 저/김희정 역  
                
                
                    "," 부키
                
                    "," 2023년 03월
                 
            ","18,000원 ","16,200",87,4,4,"
			            팍팍한 살림살이와 불안한 경제를 어떻게 헤쳐나갈 것인가? 세계적 석학 장하준, 더 공정하고 다 함께 잘사는 길을 제시하다!  “자유 시장의 자유에 맡겨 두면 경제가 저절로 발전할까?” “사람들이 가난한 건 게으르기 때문일까?” “기회의 평등만 보장하면 공정한 세상이 만들어질까?” “복지 제도는 가난한 사람...
			        "
"[도서]   이지성의 1만 킬로미터 : 그들은 왜 목숨을 건 여정을 떠나는가?([9월의 굿즈] 페이퍼 인센스, 산리오캐릭터즈 독서 아이템 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/118413637,"
이지성 저  
                
                
                    "," 차이정원
                
                    "," 2023년 04월
                 
            ","18,000원 ","16,200",74,4,4,"
			            북한과 중국, 동남아를 거쳐 한국까지, 나는 무엇을 보았는가? ‘북한의 쉰들러’ 수퍼맨 목사와 ‘든든한 후원자’ 이지성 작가의 탈북로드 5년의 기록   “지금 하버드대 교수들과 학생들이 읽고 있는 책!”  - 케이시 라티그 주니어(하버드 교육대학원 친선대사)  이지성 작가가 5년 동안 주목해왔던 이것. 바로 ...
			        "
"[도서]   도둑맞은 집중력 : 집중력 위기의 시대, 삶의 주도권을 되찾는 법(어크로스 도서 3만 원 이상 구매 시 캠핑 의자 증정 (포인트 차감)) 
            
            ",https://www.yes24.com/Product/Goods/118579613,"
요한 하리 저/김하현 역  
                
                
                    "," 어크로스
                
                    "," 2023년 04월
                 
            ","18,800원 ","16,920",106,4,4,"
			            아마존, 월 스트리트 저널 올해의 책 애덤 그랜트·수전 케인·힐러리 클린턴 추천, 2023년 최고의 화제작  “우리는 어떻게 ‘나도 모르는 새’ 집중력을 도둑맞고 있을까” 3만 마일의 비행, 250명 전문가와의 인터뷰 뉴욕타임스 베스트셀러 작가의 전방위적인 탐사가 시작된다  전 세계 모든 곳에서, 집중하는 우리...
			        "
"[도서]   원씽 THE ONE THING : 복잡한 세상을 이기는 단순함의 힘(리커버 특별판) 
            
            ",https://www.yes24.com/Product/Goods/9349031,"
게리 켈러,제이 파파산 저/구세희 역  
                
                
                    "," 비즈니스북스
                
                    "," 2013년 08월
                 
            ","14,000원 ","12,600",243,4,4,"
			            아마존 종합 베스트셀러 1위! 아마존 자기계발 분야 260주 연속 스테디셀러! 「월스트리트 저널」 종합 베스트셀러 1위! 「뉴욕 타임스」「USA 투데이」「워싱턴 포스트」 베스트셀러! 전 세계 독자들이 주목한 최고의 책! 20만 부 판매 기념 리커버 특별한정판!  인생의 반전을 불러오는 단순함의 힘 당신의 삶을 ...
			        "
"[도서]   돈의 속성 300쇄 리커버(양장) 
            
            ",https://www.yes24.com/Product/Goods/90428162,"
김승호 저  
                
                
                    "," 스노우폭스북스
                
                    "," 2020년 06월
                 
            ","17,800원 ","16,020",372,4,4,"
			            유튜브 1,100만 명이 시청한 [돈의 속성] 완결판 최상위 부자 김승호 회장이 직접 밝히는 돈에 대한 통찰과 철학 맨손에서 종잣돈을 만들고 돈을 불리는 75가지 방법  이 책 『돈의 속성』은 3년 전 어느 극장 하나를 빌려 대중에게 강의했던 내용을 기반으로 집필됐다. 강연은 방송을 통해 전파되며 유튜브와 셀럽들에...
			        "
